Winter,Date,Canton,Community,Starting.zone,url,Elevation..m.,Aspect,Activity,Victims..caught..buried.,Danger..level,mon,Fatalities,deg,degjit,activity,lat,long
2014/15,1/29/15,SG,Amden,"Gulme, Vorder H_hi",http://map.geo.admin.ch/?Y=733105&X=225687&zoom=8&crosshair=circle&bgLayer=ch.swisstopo.pixelkarte-farbe&time_current=latest&lang=de&topic=ech&layers_opacity=0.35&layers=ch.swisstopo.hangneigung-ueber_30,1550,SE,1,"1 (1, 1)",3,January,1,135,139.9055817,Backcountry touring,47.16874318,9.194375941
2014/15,1/29/15,VS,Riddes,Col des Mines,http://map.geo.admin.ch/?Y=586075&X=106360&zoom=8&crosshair=circle&bgLayer=ch.swisstopo.pixelkarte-farbe&time_current=latest&lang=de&topic=ech&layers_opacity=0.35&layers=ch.swisstopo.hangneigung-ueber_30,2380,N,2,"1 (5, 1)",3,January,1,0,1.828208657,Off-piste skiing/boarding,46.10859724,7.258540395
2014/15,1/18/15,GR,St. Moritz,Piz Nair,http://map.geo.admin.ch/?Y=780400&X=153175&zoom=8&crosshair=circle&bgLayer=ch.swisstopo.pixelkarte-farbe&time_current=latest&lang=de&topic=ech&layers_opacity=0.35&layers=ch.swisstopo.hangneigung-ueber_30,2950,SE,2,"1 (3, 2)",3,January,1,135,140.3854653,Off-piste skiing/boarding,46.50556215,9.789243303
2014/15,1/6/15,GR,Bivio,Piz d’Agnel,http://map.geo.admin.ch/?Y=774050&X=153500&zoom=8&crosshair=circle&bgLayer=ch.swisstopo.pixelkarte-farbe&time_current=latest&lang=de&topic=ech&layers_opacity=0.35&layers=ch.swisstopo.hangneigung-ueber_30,3050,S,1,"1 (1, 1)",3,January,1,180,182.6018876,Backcountry touring,46.51016559,9.706672905
2014/15,1/4/15,GR,Valsot,Heidelbergerspitze,http://map.geo.admin.ch/?Y=813430&X=199240&zoom=8&crosshair=circle&bgLayer=ch.swisstopo.pixelkarte-farbe&time_current=latest&lang=de&topic=ech&layers_opacity=0.35&layers=ch.swisstopo.hangneigung-ueber_30,2730,ESE,1,"1 (2, 2)",3,January,1,112.5,115.407076,Backcountry touring,46.90996103,10.2407327
2014/15,1/4/15,VS,Anniviers,Le Rots_,http://map.geo.admin.ch/?Y=613725&X=120985&zoom=8&crosshair=circle&bgLayer=ch.swisstopo.pixelkarte-farbe&time_current=latest&lang=de&topic=ech&layers_opacity=0.35&layers=ch.swisstopo.hangneigung-ueber_30,2513,NW,2,"1 (1, 1)",3,January,1,315,311.7713477,Off-piste skiing/boarding,46.24016078,7.616576131
2014/15,12/20/14,SG,Mels,Pizol,http://map.geo.admin.ch/?Y=748276&X=202734&zoom=8&crosshair=circle&bgLayer=ch.swisstopo.pixelkarte-farbe&time_current=latest&lang=de&topic=ech&layers_opacity=0.35&layers=ch.swisstopo.hangneigung-ueber_30,2820,E,1,"1 (1, 1)",3,December,1,90,92.40907599,Backcountry touring,46.95911741,9.386896673
2014/15,12/8/14,VS,Simplon,B_shorn / Rauthorn,http://map.geo.admin.ch/?Y=642750&X=116430&zoom=8&crosshair=circle&bgLayer=ch.swisstopo.pixelkarte-farbe&time_current=latest&lang=de&topic=ech&layers_opacity=0.35&layers=ch.swisstopo.hangneigung-ueber_30,3170,SE,1,"1 (4, 0)",2,December,1,135,131.5680578,Backcountry touring,46.19796923,7.992448047
2014/15,11/20/14,NW,Emmetten,Oberbauenstock,http://map.geo.admin.ch/?Y=684266&X=198406&zoom=8&crosshair=circle&bgLayer=ch.swisstopo.pixelkarte-farbe&time_current=latest&lang=de&topic=ech&layers_opacity=0.35&layers=ch.swisstopo.hangneigung-ueber_30,1850,NW,1,"1 (1, 0)",NA,November,1,315,317.9185922,Backcountry touring,46.93139929,8.545192847
2013/14,8/4/14,VS,Zermatt,Pointe de Zinal,http://map.geo.admin.ch/?Y=615001&X=96954&zoom=8&crosshair=circle&bgLayer=ch.swisstopo.pixelkarte-farbe&time_current=latest&lang=de&topic=ech&layers_opacity=0.35&layers=ch.swisstopo.hangneigung-ueber_30,3690,S,1,"1 (1, 0)",NA,August,1,180,183.330986,Backcountry touring,46.02396321,7.632350123
2013/14,7/19/14,VS,Anniviers,Pointes de Mourti,http://map.geo.admin.ch/?Y=611330&X=102467&zoom=8&crosshair=circle&bgLayer=ch.swisstopo.pixelkarte-farbe&time_current=latest&lang=de&topic=ech&layers_opacity=0.35&layers=ch.swisstopo.hangneigung-ueber_30,3460,N,1,"2 (6, 4)",NA,July,2,0,-4.850806668,Backcountry touring,46.07362648,7.585078195
2013/14,7/19/14,VS,Zermatt,Zinalrothorn,http://map.geo.admin.ch/?Y=619865&X=100645&zoom=8&crosshair=circle&bgLayer=ch.swisstopo.pixelkarte-farbe&time_current=latest&lang=de&topic=ech&layers_opacity=0.35&layers=ch.swisstopo.hangneigung-ueber_30,3760,S,1,"2 (2, 1)",NA,July,2,180,173.7452241,Backcountry touring,46.05703967,7.695315983
2013/14,3/17/14,VS,T_sch,Unter €schjoch,http://map.geo.admin.ch/?Y=621234&X=100900&zoom=8&crosshair=circle&bgLayer=ch.swisstopo.pixelkarte-farbe&time_current=latest&lang=de&topic=ech&layers_opacity=0.35&layers=ch.swisstopo.hangneigung-ueber_30,3570,NE,2,"2 (3, 2)",1,March,2,45,43.75510308,Off-piste skiing/boarding,46.05929184,7.713016416
2013/14,2/18/14,VS,Anniviers,Arête de Sorebois / Combe Durant,http://map.geo.admin.ch/?Y=611792&X=109503&zoom=8&crosshair=circle&bgLayer=ch.swisstopo.pixelkarte-farbe&time_current=latest&lang=de&topic=ech&layers_opacity=0.35&layers=ch.swisstopo.hangneigung-ueber_30,2785,NNE,2,"1 (1, 1)",3,February,1,22.5,23.25976461,Off-piste skiing/boarding,46.13691071,7.591226311
2013/14,2/17/14,VS,Nendaz,L’Arpette,http://map.geo.admin.ch/?Y=590373&X=106777&zoom=8&crosshair=circle&bgLayer=ch.swisstopo.pixelkarte-farbe&time_current=latest&lang=de&topic=ech&layers_opacity=0.35&layers=ch.swisstopo.hangneigung-ueber_30,2210,NE,2,"1 (1, 1)",3,February,1,45,47.36794609,Off-piste skiing/boarding,46.11242337,7.314119239
2013/14,2/9/14,VS,Martigny Combe,Pointe Ronde / Luy / La Giète,http://map.geo.admin.ch/?Y=568490&X=99600&zoom=8&crosshair=circle&bgLayer=ch.swisstopo.pixelkarte-farbe&time_current=latest&lang=de&topic=ech&layers_opacity=0.35&layers=ch.swisstopo.hangneigung-ueber_30,2330,NNE,1,"1 (6, 2)",3,February,1,22.5,19.47255315,Backcountry touring,46.04719662,7.031563892
2013/14,1/5/14,VS,Mont-Noble,Pointe de Masserey,http://map.geo.admin.ch/?Y=604100&X=115000&zoom=8&crosshair=circle&bgLayer=ch.swisstopo.pixelkarte-farbe&time_current=latest&lang=de&topic=ech&layers_opacity=0.35&layers=ch.swisstopo.hangneigung-ueber_30,2680,WNW,1,"4 (6, 4)",3,January,4,292.5,297.4607685,Backcountry touring,46.18644978,7.49173961
2013/14,1/5/14,VS,Nendaz,Forêt du Ban / Tracouet,http://map.geo.admin.ch/?Y=587572&X=112484&zoom=8&crosshair=circle&bgLayer=ch.swisstopo.pixelkarte-farbe&time_current=latest&lang=de&topic=ech&layers_opacity=0.35&layers=ch.swisstopo.hangneigung-ueber_30,2025,NNW,2,"1 (1, 0)",3,January,1,337.5,332.6858338,Off-piste skiing/boarding,46.16371489,7.277739224
2013/14,12/30/13,VS,Evolène,Serre de Vuib_,http://map.geo.admin.ch/?Y=603574&X=94403&zoom=8&crosshair=circle&bgLayer=ch.swisstopo.pixelkarte-farbe&time_current=latest&lang=de&topic=ech&layers_opacity=0.35&layers=ch.swisstopo.hangneigung-ueber_30,2390,NNE,1,"1 (1, 1)",3,December,1,22.5,21.78781457,Backcountry touring,46.00117302,7.48477021
2013/14,12/30/13,VS,Orsières,Aiguilles d’Arpette / Val d’Arpette,http://map.geo.admin.ch/?Y=572320&X=95559&zoom=8&crosshair=circle&bgLayer=ch.swisstopo.pixelkarte-farbe&time_current=latest&lang=de&topic=ech&layers_opacity=0.35&layers=ch.swisstopo.hangneigung-ueber_30,2640,N,1,"1 (1, 1)",3,December,1,0,-5.565539201,Backcountry touring,46.01101435,7.081279981
2013/14,12/30/13,GR,Davos,Affereidgufer / BŸelenhorn,http://map.geo.admin.ch/?Y=778034&X=172726&zoom=8&crosshair=circle&bgLayer=ch.swisstopo.pixelkarte-farbe&time_current=latest&lang=de&topic=ech&layers_opacity=0.35&layers=ch.swisstopo.hangneigung-ueber_30,2590,ENE,1,"1 (2, 1)",3,December,1,67.5,74.20729756,Backcountry touring,46.68199074,9.765991764
2013/14,12/29/13,VS,Orsières,La Dotse / Crett_ L_temaire,http://map.geo.admin.ch/?Y=573664&X=84137&zoom=8&crosshair=circle&bgLayer=ch.swisstopo.pixelkarte-farbe&time_current=latest&lang=de&topic=ech&layers_opacity=0.35&layers=ch.swisstopo.hangneigung-ueber_30,2072,NE,1,"1 (1, 1)",3,December,1,45,40.04007437,Backcountry touring,45.90832438,7.099268508
2013/14,12/29/13,VD,Bex,Bas Crots,http://map.geo.admin.ch/?Y=579700&X=125900&zoom=8&crosshair=circle&bgLayer=ch.swisstopo.pixelkarte-farbe&time_current=latest&lang=de&topic=ech&layers_opacity=0.35&layers=ch.swisstopo.hangneigung-ueber_30,2050,NNW,1,"1 (1, 1)",3,December,1,337.5,343.0782928,Backcountry touring,46.28420766,7.175242908
2013/14,12/27/13,GR,St. Moritz,Piz Nair,http://map.geo.admin.ch/?Y=780320&X=153210&zoom=8&crosshair=circle&bgLayer=ch.swisstopo.pixelkarte-farbe&time_current=latest&lang=de&topic=ech&layers_opacity=0.35&layers=ch.swisstopo.hangneigung-ueber_30,3010,SE,2,"1 (1, 1)",3,December,1,135,134.7263916,Off-piste skiing/boarding,46.50589841,9.788215197
2013/14,12/26/13,UR,Realp,Witenwasserental / Schweig,http://map.geo.admin.ch/?Y=680880&X=159030&zoom=8&crosshair=circle&bgLayer=ch.swisstopo.pixelkarte-farbe&time_current=latest&lang=de&topic=ech&layers_opacity=0.35&layers=ch.swisstopo.hangneigung-ueber_30,1720,N,1,"1 (1, 1)",4,December,1,0,3.918407179,Backcountry touring,46.57764798,8.49378173
2012/13,4/14/13,VS,Fieschertal,Trugberg,http://map.geo.admin.ch/?Y=644460&X=154510&zoom=8&crosshair=circle&bgLayer=ch.swisstopo.pixelkarte-farbe&time_current=latest&lang=de&topic=ech&layers_opacity=0.35&layers=ch.swisstopo.hangneigung-ueber_30,3730,S,1,"1 (2, 1)",3,April,1,180,175.4098303,Backcountry touring,46.54040187,8.018242663
2012/13,4/13/13,VS,Zermatt,Matterhorn,http://map.geo.admin.ch/?Y=618131&X=92229&zoom=8&crosshair=circle&bgLayer=ch.swisstopo.pixelkarte-farbe&time_current=latest&lang=de&topic=ech&layers_opacity=0.35&layers=ch.swisstopo.hangneigung-ueber_30,3380,SE,1,"1 (3, 0)",2,April,1,135,132.3089519,Backcountry touring,45.98138349,7.672586829
2012/13,4/12/13,VS,Fieschertal,GrŸnhornlŸcke,http://map.geo.admin.ch/?Y=649200&X=151700&zoom=8&crosshair=circle&bgLayer=ch.swisstopo.pixelkarte-farbe&time_current=latest&lang=de&topic=ech&layers_opacity=0.35&layers=ch.swisstopo.hangneigung-ueber_30,3320,S,1,"1 (13, 7)",3,April,1,180,174.5995487,Backcountry touring,46.51479341,8.079734058
2012/13,3/29/13,GR,Poschiavo,Val da Camp / Val Viola,http://map.geo.admin.ch/?Y=807990&X=142376&zoom=8&crosshair=circle&bgLayer=ch.swisstopo.pixelkarte-farbe&time_current=latest&lang=de&topic=ech&layers_opacity=0.35&layers=ch.swisstopo.hangneigung-ueber_30,2370,W,1,"2 (5, 4)",2,March,2,270,267.4224515,Backcountry touring,46.40047295,10.14361711
2012/13,3/21/13,GR,Disentis / Must_r,Piz Gendusas / Val Strem,http://map.geo.admin.ch/?Y=702080&X=175080&zoom=8&crosshair=circle&bgLayer=ch.swisstopo.pixelkarte-farbe&time_current=latest&lang=de&topic=ech&layers_opacity=0.35&layers=ch.swisstopo.hangneigung-ueber_30,2820,SSE,2,"1 (5, 2)",2,March,1,157.5,152.7513037,Off-piste skiing/boarding,46.71910566,8.773867723
2012/13,3/19/13,VS,Trient,La Grand Jeur / Tête Balme,http://map.geo.admin.ch/?Y=563222&X=98539&zoom=8&crosshair=circle&bgLayer=ch.swisstopo.pixelkarte-farbe&time_current=latest&lang=de&topic=ech&layers_opacity=0.35&layers=ch.swisstopo.hangneigung-ueber_30,2065,N,2,"1 (1, 1)",3,March,1,0,-6.560412706,Off-piste skiing/boarding,46.03738635,6.963591865
2012/13,3/4/13,GR,Tujetsch,Tschamut,http://map.geo.admin.ch/?Y=696200&X=167800&zoom=8&crosshair=circle&bgLayer=ch.swisstopo.pixelkarte-farbe&time_current=latest&lang=de&topic=ech&layers_opacity=0.35&layers=ch.swisstopo.hangneigung-ueber_30,1890,SE,1,"1 (1, 1)",2,March,1,135,138.9812272,Backcountry touring,46.65450072,8.695444296
2012/13,2/16/13,VS,Orsières,Grands Plans,http://map.geo.admin.ch/?Y=574060&X=96800&zoom=8&crosshair=circle&bgLayer=ch.swisstopo.pixelkarte-farbe&time_current=latest&lang=de&topic=ech&layers_opacity=0.35&layers=ch.swisstopo.hangneigung-ueber_30,2160,NNE,1,"1 (1, 1)",2,February,1,22.5,17.13191071,Backcountry touring,46.02224656,7.103675268
2012/13,2/16/13,VS,Anniviers,Le Touno,http://map.geo.admin.ch/?Y=616160&X=116790&zoom=8&crosshair=circle&bgLayer=ch.swisstopo.pixelkarte-farbe&time_current=latest&lang=de&topic=ech&layers_opacity=0.35&layers=ch.swisstopo.hangneigung-ueber_30,2720,S,1,"1 (2, 2)",2,February,1,180,178.3761782,Backcountry touring,46.20237043,7.647999695
2012/13,2/13/13,VS,Is_rables,Plan du Fou / Prafleuri,http://map.geo.admin.ch/?Y=588460&X=109100&zoom=8&crosshair=circle&bgLayer=ch.swisstopo.pixelkarte-farbe&time_current=latest&lang=de&topic=ech&layers_opacity=0.35&layers=ch.swisstopo.hangneigung-ueber_30,2470,W,2,"1 (1, 0)",2,February,1,270,269.2955717,Off-piste skiing/boarding,46.13328988,7.289318937
2012/13,2/13/13,VS,Nendaz,Bec des Etagnes,http://map.geo.admin.ch/?Y=590428&X=104192&zoom=8&crosshair=circle&bgLayer=ch.swisstopo.pixelkarte-farbe&time_current=latest&lang=de&topic=ech&layers_opacity=0.35&layers=ch.swisstopo.hangneigung-ueber_30,3150,SSW,2,"2 (6, 4)",2,February,2,202.5,196.3634083,Off-piste skiing/boarding,46.08917086,7.314883325
2012/13,2/12/13,VS,Anniviers,Corne de Sorebois,http://map.geo.admin.ch/?Y=611100&X=111100&zoom=8&crosshair=circle&bgLayer=ch.swisstopo.pixelkarte-farbe&time_current=latest&lang=de&topic=ech&layers_opacity=0.35&layers=ch.swisstopo.hangneigung-ueber_30,2600,W,2,"1 (1, 1)",2,February,1,270,264.3598028,Off-piste skiing/boarding,46.15128827,7.582309636
2012/13,2/3/13,VS,Anniviers,Bella Tola / Rothorn,http://map.geo.admin.ch/?Y=615980&X=121090&zoom=8&crosshair=circle&bgLayer=ch.swisstopo.pixelkarte-farbe&time_current=latest&lang=de&topic=ech&layers_opacity=0.35&layers=ch.swisstopo.hangneigung-ueber_30,2890,SW,1,"1 (1, 1)",3,February,1,225,225.3720075,Backcountry touring,46.24105555,7.64581473
2012/13,1/29/13,FR,Semsales,Teysachaux / Tremetta,http://map.geo.admin.ch/?Y=566100&X=153950&zoom=8&crosshair=circle&bgLayer=ch.swisstopo.pixelkarte-farbe&time_current=latest&lang=de&topic=ech&layers_opacity=0.35&layers=ch.swisstopo.hangneigung-ueber_30,1750,,1,"1 (1, 1)",3,January,1,NA,NA,Backcountry touring,46.5359826,6.996735561
2012/13,1/24/13,GR,Alvaneu,Piz Mosch / Val digl Guert,http://map.geo.admin.ch/?Y=767300&X=175425&zoom=8&crosshair=circle&bgLayer=ch.swisstopo.pixelkarte-farbe&time_current=latest&lang=de&topic=ech&layers_opacity=0.35&layers=ch.swisstopo.hangneigung-ueber_30,2250,E,1,"1 (1, 1)",2,January,1,90,84.17259183,Backcountry touring,46.70903781,9.626730603
2012/13,1/19/13,BE,Kandergrund,€rmighore,http://map.geo.admin.ch/?Y=621030&X=154435&zoom=8&crosshair=circle&bgLayer=ch.swisstopo.pixelkarte-farbe&time_current=latest&lang=de&topic=ech&layers_opacity=0.35&layers=ch.swisstopo.hangneigung-ueber_30,2690,W,1,"1 (2, 1)",2,January,1,270,271.8465288,Backcountry touring,46.54087353,7.712796564
2012/13,12/23/12,SG,Vilters Wangs,Gamidaurspitz,http://map.geo.admin.ch/?Y=748903&X=207068&zoom=8&crosshair=circle&bgLayer=ch.swisstopo.pixelkarte-farbe&time_current=latest&lang=de&topic=ech&layers_opacity=0.35&layers=ch.swisstopo.hangneigung-ueber_30,2260,NNE,1,"1 (1, 1)",4,December,1,22.5,20.89481779,Backcountry touring,46.99795005,9.396552855
2012/13,12/19/12,VS,Nendaz,Les Lu_s Rares,http://map.geo.admin.ch/?Y=588490&X=105960&zoom=8&crosshair=circle&bgLayer=ch.swisstopo.pixelkarte-farbe&time_current=latest&lang=de&topic=ech&layers_opacity=0.35&layers=ch.swisstopo.hangneigung-ueber_30,2525,NE,2,"1 (4, 1)",3,December,1,45,51.87030667,Off-piste skiing/boarding,46.10504457,7.289784146
2012/13,11/12/12,GR,Pontresina,Diavolezza / oberhalb Lej da Diavolezza,http://map.geo.admin.ch/?Y=794694&X=143846&zoom=8&crosshair=circle&bgLayer=ch.swisstopo.pixelkarte-farbe&time_current=latest&lang=de&topic=ech&layers_opacity=0.35&layers=ch.swisstopo.hangneigung-ueber_30,2740,N,2,"1 (1, 1)",NA,November,1,0,-1.465781743,Off-piste skiing/boarding,46.4176814,9.971441826
2012/13,10/27/12,GR,Pontresina,Piz Bernina / La Spedla,http://map.geo.admin.ch/?Y=789985&X=139516&zoom=8&crosshair=circle&bgLayer=ch.swisstopo.pixelkarte-farbe&time_current=latest&lang=de&topic=ech&layers_opacity=0.35&layers=ch.swisstopo.hangneigung-ueber_30,3950,NE,1,"1 (1, 1)",NA,October,1,45,47.66863751,Backcountry touring,46.38010064,9.908449582
2011/12,4/25/12,VS,Nendaz,Col des Gentianes / Louettes Econdoue,http://map.geo.admin.ch/?Y=589446&X=104771&zoom=8&crosshair=circle&bgLayer=ch.swisstopo.pixelkarte-farbe&time_current=latest&lang=de&topic=ech&layers_opacity=0.35&layers=ch.swisstopo.hangneigung-ueber_30,2800,N,2,"1 (1, 1)",3,April,1,0,0.84182728,Off-piste skiing/boarding,46.09436459,7.302174317
2011/12,4/23/12,FR,Plaffeien,Schafarnisch,http://map.geo.admin.ch/?Y=594610&X=167140&zoom=8&crosshair=circle&bgLayer=ch.swisstopo.pixelkarte-farbe&time_current=latest&lang=de&topic=ech&layers_opacity=0.35&layers=ch.swisstopo.hangneigung-ueber_30,2100,NNW,1,"1 (2, 0)",2,April,1,337.5,338.99312,Backcountry touring,46.65547089,7.36822116
2011/12,4/17/12,VS,Anniviers,Col de Vijivi,http://map.geo.admin.ch/?Y=617077&X=115930&zoom=8&crosshair=circle&bgLayer=ch.swisstopo.pixelkarte-farbe&time_current=latest&lang=de&topic=ech&layers_opacity=0.35&layers=ch.swisstopo.hangneigung-ueber_30,2900,NW,1,"1 (2, 1)",2,April,1,315,315.2564065,Backcountry touring,46.19461166,7.659848519
2011/12,4/17/12,GR,Lavin,Piz Linard,http://map.geo.admin.ch/?Y=800875&X=186336&zoom=8&crosshair=circle&bgLayer=ch.swisstopo.pixelkarte-farbe&time_current=latest&lang=de&topic=ech&layers_opacity=0.35&layers=ch.swisstopo.hangneigung-ueber_30,3305,S,1,"1 (3, 1)",2,April,1,180,186.9049867,Backcountry touring,46.79786525,10.07034091
2011/12,4/9/12,VS,Bourg St Pierre,Mont V_lan / couloir Hannibal,http://map.geo.admin.ch/?Y=584959&X=82509&zoom=8&crosshair=circle&bgLayer=ch.swisstopo.pixelkarte-farbe&time_current=latest&lang=de&topic=ech&layers_opacity=0.35&layers=ch.swisstopo.hangneigung-ueber_30,3500,WSW,1,"1 (1, 0)",3,April,1,247.5,253.0086667,Backcountry touring,45.89402522,7.244868084
2011/12,2/24/12,NW,Stans,Stanserhorn / Grosslangzug,http://map.geo.admin.ch/?Y=669890&X=198880&zoom=8&crosshair=circle&bgLayer=ch.swisstopo.pixelkarte-farbe&time_current=latest&lang=de&topic=ech&layers_opacity=0.35&layers=ch.swisstopo.hangneigung-ueber_30,1340,N,3,"1 (1, 1)",2,February,1,0,-4.073794297,Transportation corridors,46.93733043,8.356503123
