Winter,Date,Canton,Community,Starting zone,url,Elevation (m),Aspect,Activity,"Victims (caught, buried)",Danger- level
2014/15,2-Feb-15,GR,Disentis / Mustér,Piz las Palas / Val Segnas,http://map.geo.admin.ch/?Y=703820&X=172900&zoom=8&crosshair=circle&bgLayer=ch.swisstopo.pixelkarte-farbe&time_current=latest&lang=de&topic=ech&layers_opacity=0.35&layers=ch.swisstopo.hangneigung-ueber_30,1970,NE,2,"1 (1, 1)",3
2014/15,31-Jan-15,GR,Seewis im Prättigau,Vilan,http://map.geo.admin.ch/?Y=764710&X=209140&zoom=8&crosshair=circle&bgLayer=ch.swisstopo.pixelkarte-farbe&time_current=latest&lang=de&topic=ech&layers_opacity=0.35&layers=ch.swisstopo.hangneigung-ueber_30,2340,E,1,"5 (8, 7)",3
2014/15,31-Jan-15,SG,Wildhaus-Alt St. Johann,Hinderrugg,http://map.geo.admin.ch/?Y=741408&X=224215&zoom=8&crosshair=circle&bgLayer=ch.swisstopo.pixelkarte-farbe&time_current=latest&lang=de&topic=ech&layers_opacity=0.35&layers=ch.swisstopo.hangneigung-ueber_30,2250,W,2,"1 (1, 0)",3
2014/15,31-Jan-15,BE,Adelboden,"Rägeboldshore, I de Hellere",http://map.geo.admin.ch/?Y=605567&X=143973&zoom=8&crosshair=circle&bgLayer=ch.swisstopo.pixelkarte-farbe&time_current=latest&lang=de&topic=ech&layers_opacity=0.35&layers=ch.swisstopo.hangneigung-ueber_30,1980,NW,2,"1 (1, 1)",3
2014/15,31-Jan-15,BE,Lauterbrunnen,"Chlys Schilthoren, Tistelwang",http://map.geo.admin.ch/?Y=631452&X=156214&zoom=8&crosshair=circle&bgLayer=ch.swisstopo.pixelkarte-farbe&time_current=latest&lang=de&topic=ech&layers_opacity=0.35&layers=ch.swisstopo.hangneigung-ueber_30,2380,E,2,"1 (1, 1)",3
2014/15,30-Jan-15,BE,Adelboden,Hahnenmoospass,http://map.geo.admin.ch/?Y=604732&X=144872&zoom=8&crosshair=circle&bgLayer=ch.swisstopo.pixelkarte-farbe&time_current=latest&lang=de&topic=ech&layers_opacity=0.35&layers=ch.swisstopo.hangneigung-ueber_30,1875,E,2,"1 (1, 1)",3
2014/15,29-Jan-15,SG,Amden,"Gulme, Vorder Höhi",http://map.geo.admin.ch/?Y=733105&X=225687&zoom=8&crosshair=circle&bgLayer=ch.swisstopo.pixelkarte-farbe&time_current=latest&lang=de&topic=ech&layers_opacity=0.35&layers=ch.swisstopo.hangneigung-ueber_30,1550,SE,1,"1 (1, 1)",3
2014/15,29-Jan-15,VS,Riddes,Col des Mines,http://map.geo.admin.ch/?Y=586075&X=106360&zoom=8&crosshair=circle&bgLayer=ch.swisstopo.pixelkarte-farbe&time_current=latest&lang=de&topic=ech&layers_opacity=0.35&layers=ch.swisstopo.hangneigung-ueber_30,2380,N,2,"1 (5, 1)",3
2014/15,18-Jan-15,GR,St. Moritz,Piz Nair,http://map.geo.admin.ch/?Y=780400&X=153175&zoom=8&crosshair=circle&bgLayer=ch.swisstopo.pixelkarte-farbe&time_current=latest&lang=de&topic=ech&layers_opacity=0.35&layers=ch.swisstopo.hangneigung-ueber_30,2950,SE,2,"1 (3, 2)",3
2014/15,6-Jan-15,GR,Bivio,Piz díAgnel,http://map.geo.admin.ch/?Y=774050&X=153500&zoom=8&crosshair=circle&bgLayer=ch.swisstopo.pixelkarte-farbe&time_current=latest&lang=de&topic=ech&layers_opacity=0.35&layers=ch.swisstopo.hangneigung-ueber_30,3050,S,1,"1 (1, 1)",3
2014/15,4-Jan-15,GR,Valsot,Heidelbergerspitze,http://map.geo.admin.ch/?Y=813430&X=199240&zoom=8&crosshair=circle&bgLayer=ch.swisstopo.pixelkarte-farbe&time_current=latest&lang=de&topic=ech&layers_opacity=0.35&layers=ch.swisstopo.hangneigung-ueber_30,2730,ESE,1,"1 (2, 2)",3
2014/15,4-Jan-15,VS,Anniviers,Le Rotsé,http://map.geo.admin.ch/?Y=613725&X=120985&zoom=8&crosshair=circle&bgLayer=ch.swisstopo.pixelkarte-farbe&time_current=latest&lang=de&topic=ech&layers_opacity=0.35&layers=ch.swisstopo.hangneigung-ueber_30,2513,NW,2,"1 (1, 1)",3
2014/15,20-Dec-14,SG,Mels,Pizol,http://map.geo.admin.ch/?Y=748276&X=202734&zoom=8&crosshair=circle&bgLayer=ch.swisstopo.pixelkarte-farbe&time_current=latest&lang=de&topic=ech&layers_opacity=0.35&layers=ch.swisstopo.hangneigung-ueber_30,2820,E,1,"1 (1, 1)",3
2014/15,8-Dec-14,VS,Simplon,Böshorn / Rauthorn,http://map.geo.admin.ch/?Y=642750&X=116430&zoom=8&crosshair=circle&bgLayer=ch.swisstopo.pixelkarte-farbe&time_current=latest&lang=de&topic=ech&layers_opacity=0.35&layers=ch.swisstopo.hangneigung-ueber_30,3170,SE,1,"1 (4, 0)",2
2014/15,20-Nov-14,NW,Emmetten,Oberbauenstock,http://map.geo.admin.ch/?Y=684266&X=198406&zoom=8&crosshair=circle&bgLayer=ch.swisstopo.pixelkarte-farbe&time_current=latest&lang=de&topic=ech&layers_opacity=0.35&layers=ch.swisstopo.hangneigung-ueber_30,1850,NW,1,"1 (1, 0)",
2013/14,4-Aug-14,VS,Zermatt,Pointe de Zinal,http://map.geo.admin.ch/?Y=615001&X=96954&zoom=8&crosshair=circle&bgLayer=ch.swisstopo.pixelkarte-farbe&time_current=latest&lang=de&topic=ech&layers_opacity=0.35&layers=ch.swisstopo.hangneigung-ueber_30,3690,S,1,"1 (1, 0)",
2013/14,19-Jul-14,VS,Anniviers,Pointes de Mourti,http://map.geo.admin.ch/?Y=611330&X=102467&zoom=8&crosshair=circle&bgLayer=ch.swisstopo.pixelkarte-farbe&time_current=latest&lang=de&topic=ech&layers_opacity=0.35&layers=ch.swisstopo.hangneigung-ueber_30,3460,N,1,"2 (6, 4)",
2013/14,19-Jul-14,VS,Zermatt,Zinalrothorn,http://map.geo.admin.ch/?Y=619865&X=100645&zoom=8&crosshair=circle&bgLayer=ch.swisstopo.pixelkarte-farbe&time_current=latest&lang=de&topic=ech&layers_opacity=0.35&layers=ch.swisstopo.hangneigung-ueber_30,3760,S,1,"2 (2, 1)",
2013/14,17-Mar-14,VS,Täsch,Unter Äschjoch,http://map.geo.admin.ch/?Y=621234&X=100900&zoom=8&crosshair=circle&bgLayer=ch.swisstopo.pixelkarte-farbe&time_current=latest&lang=de&topic=ech&layers_opacity=0.35&layers=ch.swisstopo.hangneigung-ueber_30,3570,NE,2,"2 (3, 2)",1
2013/14,18-Feb-14,VS,Anniviers,Arête de Sorebois / Combe Durant,http://map.geo.admin.ch/?Y=611792&X=109503&zoom=8&crosshair=circle&bgLayer=ch.swisstopo.pixelkarte-farbe&time_current=latest&lang=de&topic=ech&layers_opacity=0.35&layers=ch.swisstopo.hangneigung-ueber_30,2785,NNE,2,"1 (1, 1)",3
2013/14,17-Feb-14,VS,Nendaz,LíArpette,http://map.geo.admin.ch/?Y=590373&X=106777&zoom=8&crosshair=circle&bgLayer=ch.swisstopo.pixelkarte-farbe&time_current=latest&lang=de&topic=ech&layers_opacity=0.35&layers=ch.swisstopo.hangneigung-ueber_30,2210,NE,2,"1 (1, 1)",3
2013/14,9-Feb-14,VS,Martigny Combe,Pointe Ronde / Luy / La Giète,http://map.geo.admin.ch/?Y=568490&X=99600&zoom=8&crosshair=circle&bgLayer=ch.swisstopo.pixelkarte-farbe&time_current=latest&lang=de&topic=ech&layers_opacity=0.35&layers=ch.swisstopo.hangneigung-ueber_30,2330,NNE,1,"1 (6, 2)",3
2013/14,5-Jan-14,VS,Mont-Noble,Pointe de Masserey,http://map.geo.admin.ch/?Y=604100&X=115000&zoom=8&crosshair=circle&bgLayer=ch.swisstopo.pixelkarte-farbe&time_current=latest&lang=de&topic=ech&layers_opacity=0.35&layers=ch.swisstopo.hangneigung-ueber_30,2680,WNW,1,"4 (6, 4)",3
2013/14,5-Jan-14,VS,Nendaz,Forêt du Ban / Tracouet,http://map.geo.admin.ch/?Y=587572&X=112484&zoom=8&crosshair=circle&bgLayer=ch.swisstopo.pixelkarte-farbe&time_current=latest&lang=de&topic=ech&layers_opacity=0.35&layers=ch.swisstopo.hangneigung-ueber_30,2025,NNW,2,"1 (1, 0)",3
2013/14,30-Dec-13,VS,Evolène,Serre de Vuibé,http://map.geo.admin.ch/?Y=603574&X=94403&zoom=8&crosshair=circle&bgLayer=ch.swisstopo.pixelkarte-farbe&time_current=latest&lang=de&topic=ech&layers_opacity=0.35&layers=ch.swisstopo.hangneigung-ueber_30,2390,NNE,1,"1 (1, 1)",3
2013/14,30-Dec-13,VS,Orsières,Aiguilles díArpette / Val díArpette,http://map.geo.admin.ch/?Y=572320&X=95559&zoom=8&crosshair=circle&bgLayer=ch.swisstopo.pixelkarte-farbe&time_current=latest&lang=de&topic=ech&layers_opacity=0.35&layers=ch.swisstopo.hangneigung-ueber_30,2640,N,1,"1 (1, 1)",3
2013/14,30-Dec-13,GR,Davos,Affereidgufer / Büelenhorn,http://map.geo.admin.ch/?Y=778034&X=172726&zoom=8&crosshair=circle&bgLayer=ch.swisstopo.pixelkarte-farbe&time_current=latest&lang=de&topic=ech&layers_opacity=0.35&layers=ch.swisstopo.hangneigung-ueber_30,2590,ENE,1,"1 (2, 1)",3
2013/14,29-Dec-13,VS,Orsières,La Dotse / Cretté Létemaire,http://map.geo.admin.ch/?Y=573664&X=84137&zoom=8&crosshair=circle&bgLayer=ch.swisstopo.pixelkarte-farbe&time_current=latest&lang=de&topic=ech&layers_opacity=0.35&layers=ch.swisstopo.hangneigung-ueber_30,2072,NE,1,"1 (1, 1)",3
2013/14,29-Dec-13,VD,Bex,Bas Crots,http://map.geo.admin.ch/?Y=579700&X=125900&zoom=8&crosshair=circle&bgLayer=ch.swisstopo.pixelkarte-farbe&time_current=latest&lang=de&topic=ech&layers_opacity=0.35&layers=ch.swisstopo.hangneigung-ueber_30,2050,NNW,1,"1 (1, 1)",3
2013/14,27-Dec-13,GR,St. Moritz,Piz Nair,http://map.geo.admin.ch/?Y=780320&X=153210&zoom=8&crosshair=circle&bgLayer=ch.swisstopo.pixelkarte-farbe&time_current=latest&lang=de&topic=ech&layers_opacity=0.35&layers=ch.swisstopo.hangneigung-ueber_30,3010,SE,2,"1 (1, 1)",3
2013/14,26-Dec-13,UR,Realp,Witenwasserental / Schweig,http://map.geo.admin.ch/?Y=680880&X=159030&zoom=8&crosshair=circle&bgLayer=ch.swisstopo.pixelkarte-farbe&time_current=latest&lang=de&topic=ech&layers_opacity=0.35&layers=ch.swisstopo.hangneigung-ueber_30,1720,N,1,"1 (1, 1)",4
2012/13,14-Apr-13,VS,Fieschertal,Trugberg,http://map.geo.admin.ch/?Y=644460&X=154510&zoom=8&crosshair=circle&bgLayer=ch.swisstopo.pixelkarte-farbe&time_current=latest&lang=de&topic=ech&layers_opacity=0.35&layers=ch.swisstopo.hangneigung-ueber_30,3730,S,1,"1 (2, 1)",3
2012/13,13-Apr-13,VS,Zermatt,Matterhorn,http://map.geo.admin.ch/?Y=618131&X=92229&zoom=8&crosshair=circle&bgLayer=ch.swisstopo.pixelkarte-farbe&time_current=latest&lang=de&topic=ech&layers_opacity=0.35&layers=ch.swisstopo.hangneigung-ueber_30,3380,SE,1,"1 (3, 0)",2
2012/13,12-Apr-13,VS,Fieschertal,Grünhornlücke,http://map.geo.admin.ch/?Y=649200&X=151700&zoom=8&crosshair=circle&bgLayer=ch.swisstopo.pixelkarte-farbe&time_current=latest&lang=de&topic=ech&layers_opacity=0.35&layers=ch.swisstopo.hangneigung-ueber_30,3320,S,1,"1 (13, 7)",3
2012/13,29-Mar-13,GR,Poschiavo,Val da Camp / Val Viola,http://map.geo.admin.ch/?Y=807990&X=142376&zoom=8&crosshair=circle&bgLayer=ch.swisstopo.pixelkarte-farbe&time_current=latest&lang=de&topic=ech&layers_opacity=0.35&layers=ch.swisstopo.hangneigung-ueber_30,2370,W,1,"2 (5, 4)",2
2012/13,21-Mar-13,GR,Disentis / Mustér,Piz Gendusas / Val Strem,http://map.geo.admin.ch/?Y=702080&X=175080&zoom=8&crosshair=circle&bgLayer=ch.swisstopo.pixelkarte-farbe&time_current=latest&lang=de&topic=ech&layers_opacity=0.35&layers=ch.swisstopo.hangneigung-ueber_30,2820,SSE,2,"1 (5, 2)",2
2012/13,19-Mar-13,VS,Trient,La Grand Jeur / Tête Balme,http://map.geo.admin.ch/?Y=563222&X=98539&zoom=8&crosshair=circle&bgLayer=ch.swisstopo.pixelkarte-farbe&time_current=latest&lang=de&topic=ech&layers_opacity=0.35&layers=ch.swisstopo.hangneigung-ueber_30,2065,N,2,"1 (1, 1)",3
2012/13,4-Mar-13,GR,Tujetsch,Tschamut,http://map.geo.admin.ch/?Y=696200&X=167800&zoom=8&crosshair=circle&bgLayer=ch.swisstopo.pixelkarte-farbe&time_current=latest&lang=de&topic=ech&layers_opacity=0.35&layers=ch.swisstopo.hangneigung-ueber_30,1890,SE,1,"1 (1, 1)",2
2012/13,16-Feb-13,VS,Orsières,Grands Plans,http://map.geo.admin.ch/?Y=574060&X=96800&zoom=8&crosshair=circle&bgLayer=ch.swisstopo.pixelkarte-farbe&time_current=latest&lang=de&topic=ech&layers_opacity=0.35&layers=ch.swisstopo.hangneigung-ueber_30,2160,NNE,1,"1 (1, 1)",2
2012/13,16-Feb-13,VS,Anniviers,Le Touno,http://map.geo.admin.ch/?Y=616160&X=116790&zoom=8&crosshair=circle&bgLayer=ch.swisstopo.pixelkarte-farbe&time_current=latest&lang=de&topic=ech&layers_opacity=0.35&layers=ch.swisstopo.hangneigung-ueber_30,2720,S,1,"1 (2, 2)",2
2012/13,13-Feb-13,VS,Isérables,Plan du Fou / Prafleuri,http://map.geo.admin.ch/?Y=588460&X=109100&zoom=8&crosshair=circle&bgLayer=ch.swisstopo.pixelkarte-farbe&time_current=latest&lang=de&topic=ech&layers_opacity=0.35&layers=ch.swisstopo.hangneigung-ueber_30,2470,W,2,"1 (1, 0)",2
2012/13,13-Feb-13,VS,Nendaz,Bec des Etagnes,http://map.geo.admin.ch/?Y=590428&X=104192&zoom=8&crosshair=circle&bgLayer=ch.swisstopo.pixelkarte-farbe&time_current=latest&lang=de&topic=ech&layers_opacity=0.35&layers=ch.swisstopo.hangneigung-ueber_30,3150,SSW,2,"2 (6, 4)",2
2012/13,12-Feb-13,VS,Anniviers,Corne de Sorebois,http://map.geo.admin.ch/?Y=611100&X=111100&zoom=8&crosshair=circle&bgLayer=ch.swisstopo.pixelkarte-farbe&time_current=latest&lang=de&topic=ech&layers_opacity=0.35&layers=ch.swisstopo.hangneigung-ueber_30,2600,W,2,"1 (1, 1)",2
2012/13,3-Feb-13,VS,Anniviers,Bella Tola / Rothorn,http://map.geo.admin.ch/?Y=615980&X=121090&zoom=8&crosshair=circle&bgLayer=ch.swisstopo.pixelkarte-farbe&time_current=latest&lang=de&topic=ech&layers_opacity=0.35&layers=ch.swisstopo.hangneigung-ueber_30,2890,SW,1,"1 (1, 1)",3
2012/13,29-Jan-13,FR,Semsales,Teysachaux / Tremetta,http://map.geo.admin.ch/?Y=566100&X=153950&zoom=8&crosshair=circle&bgLayer=ch.swisstopo.pixelkarte-farbe&time_current=latest&lang=de&topic=ech&layers_opacity=0.35&layers=ch.swisstopo.hangneigung-ueber_30,1750,,1,"1 (1, 1)",3
2012/13,24-Jan-13,GR,Alvaneu,Piz Mosch / Val digl Guert,http://map.geo.admin.ch/?Y=767300&X=175425&zoom=8&crosshair=circle&bgLayer=ch.swisstopo.pixelkarte-farbe&time_current=latest&lang=de&topic=ech&layers_opacity=0.35&layers=ch.swisstopo.hangneigung-ueber_30,2250,E,1,"1 (1, 1)",2
2012/13,19-Jan-13,BE,Kandergrund,Ärmighore,http://map.geo.admin.ch/?Y=621030&X=154435&zoom=8&crosshair=circle&bgLayer=ch.swisstopo.pixelkarte-farbe&time_current=latest&lang=de&topic=ech&layers_opacity=0.35&layers=ch.swisstopo.hangneigung-ueber_30,2690,W,1,"1 (2, 1)",2
2012/13,23-Dec-12,SG,Vilters Wangs,Gamidaurspitz,http://map.geo.admin.ch/?Y=748903&X=207068&zoom=8&crosshair=circle&bgLayer=ch.swisstopo.pixelkarte-farbe&time_current=latest&lang=de&topic=ech&layers_opacity=0.35&layers=ch.swisstopo.hangneigung-ueber_30,2260,NNE,1,"1 (1, 1)",4
2012/13,19-Dec-12,VS,Nendaz,Les Lués Rares,http://map.geo.admin.ch/?Y=588490&X=105960&zoom=8&crosshair=circle&bgLayer=ch.swisstopo.pixelkarte-farbe&time_current=latest&lang=de&topic=ech&layers_opacity=0.35&layers=ch.swisstopo.hangneigung-ueber_30,2525,NE,2,"1 (4, 1)",3
2012/13,12-Nov-12,GR,Pontresina,Diavolezza / oberhalb Lej da Diavolezza,http://map.geo.admin.ch/?Y=794694&X=143846&zoom=8&crosshair=circle&bgLayer=ch.swisstopo.pixelkarte-farbe&time_current=latest&lang=de&topic=ech&layers_opacity=0.35&layers=ch.swisstopo.hangneigung-ueber_30,2740,N,2,"1 (1, 1)",
2012/13,27-Oct-12,GR,Pontresina,Piz Bernina / La Spedla,http://map.geo.admin.ch/?Y=789985&X=139516&zoom=8&crosshair=circle&bgLayer=ch.swisstopo.pixelkarte-farbe&time_current=latest&lang=de&topic=ech&layers_opacity=0.35&layers=ch.swisstopo.hangneigung-ueber_30,3950,NE,1,"1 (1, 1)",
2011/12,25-Apr-12,VS,Nendaz,Col des Gentianes / Louettes Econdoue,http://map.geo.admin.ch/?Y=589446&X=104771&zoom=8&crosshair=circle&bgLayer=ch.swisstopo.pixelkarte-farbe&time_current=latest&lang=de&topic=ech&layers_opacity=0.35&layers=ch.swisstopo.hangneigung-ueber_30,2800,N,2,"1 (1, 1)",3
2011/12,23-Apr-12,FR,Plaffeien,Schafarnisch,http://map.geo.admin.ch/?Y=594610&X=167140&zoom=8&crosshair=circle&bgLayer=ch.swisstopo.pixelkarte-farbe&time_current=latest&lang=de&topic=ech&layers_opacity=0.35&layers=ch.swisstopo.hangneigung-ueber_30,2100,NNW,1,"1 (2, 0)",2
2011/12,17-Apr-12,VS,Anniviers,Col de Vijivi,http://map.geo.admin.ch/?Y=617077&X=115930&zoom=8&crosshair=circle&bgLayer=ch.swisstopo.pixelkarte-farbe&time_current=latest&lang=de&topic=ech&layers_opacity=0.35&layers=ch.swisstopo.hangneigung-ueber_30,2900,NW,1,"1 (2, 1)",2
2011/12,17-Apr-12,GR,Lavin,Piz Linard,http://map.geo.admin.ch/?Y=800875&X=186336&zoom=8&crosshair=circle&bgLayer=ch.swisstopo.pixelkarte-farbe&time_current=latest&lang=de&topic=ech&layers_opacity=0.35&layers=ch.swisstopo.hangneigung-ueber_30,3305,S,1,"1 (3, 1)",2
2011/12,9-Apr-12,VS,Bourg St Pierre,Mont Vélan / couloir Hannibal,http://map.geo.admin.ch/?Y=584959&X=82509&zoom=8&crosshair=circle&bgLayer=ch.swisstopo.pixelkarte-farbe&time_current=latest&lang=de&topic=ech&layers_opacity=0.35&layers=ch.swisstopo.hangneigung-ueber_30,3500,WSW,1,"1 (1, 0)",3
2011/12,24-Feb-12,NW,Stans,Stanserhorn / Grosslangzug,http://map.geo.admin.ch/?Y=669890&X=198880&zoom=8&crosshair=circle&bgLayer=ch.swisstopo.pixelkarte-farbe&time_current=latest&lang=de&topic=ech&layers_opacity=0.35&layers=ch.swisstopo.hangneigung-ueber_30,1340,N,3,"1 (1, 1)",2
2011/12,17-Feb-12,GR,Davos,Weissfluhjoch / Meierhofer Tälli,http://map.geo.admin.ch/?Y=781585&X=189235&zoom=8&crosshair=circle&bgLayer=ch.swisstopo.pixelkarte-farbe&time_current=latest&lang=de&topic=ech&layers_opacity=0.35&layers=ch.swisstopo.hangneigung-ueber_30,2480,NE,2,"1 (1, 1)",3
2011/12,12-Feb-12,GR,Haldenstein,Haldensteiner Calanda / Calandasiten,http://map.geo.admin.ch/?Y=755024&X=195393&zoom=8&crosshair=circle&bgLayer=ch.swisstopo.pixelkarte-farbe&time_current=latest&lang=de&topic=ech&layers_opacity=0.35&layers=ch.swisstopo.hangneigung-ueber_30,2499,E,1,"1 (1, 0)",3
2011/12,10-Feb-12,VS,Obergoms,Sidelhorn,http://map.geo.admin.ch/?Y=667364&X=155881&zoom=8&crosshair=circle&bgLayer=ch.swisstopo.pixelkarte-farbe&time_current=latest&lang=de&topic=ech&layers_opacity=0.35&layers=ch.swisstopo.hangneigung-ueber_30,2530,SE,1,"1 (2, 1)",3
2011/12,9-Feb-12,GR,Langwies,Chüpfenflue / Tritt,http://map.geo.admin.ch/?Y=777427&X=185707&zoom=8&crosshair=circle&bgLayer=ch.swisstopo.pixelkarte-farbe&time_current=latest&lang=de&topic=ech&layers_opacity=0.35&layers=ch.swisstopo.hangneigung-ueber_30,2300,NNE,1,"1 (1, 0)",3
2011/12,8-Feb-12,NW,Hergiswil (NW),Pilatus,http://map.geo.admin.ch/?Y=661820&X=203600&zoom=8&crosshair=circle&bgLayer=ch.swisstopo.pixelkarte-farbe&time_current=latest&lang=de&topic=ech&layers_opacity=0.35&layers=ch.swisstopo.hangneigung-ueber_30,1940,NW,1,"1 (1, 1)",2
2011/12,27-Jan-12,UR,Andermatt / Hospental,Felsental,http://map.geo.admin.ch/?Y=688080&X=164000&zoom=8&crosshair=circle&bgLayer=ch.swisstopo.pixelkarte-farbe&time_current=latest&lang=de&topic=ech&layers_opacity=0.35&layers=ch.swisstopo.hangneigung-ueber_30,1800,NW,2,"1 (1, 1)",2
2011/12,3-Jan-12,GR,Avers,Juferhorn / Mugmolbach,http://map.geo.admin.ch/?Y=764540&X=143425&zoom=8&crosshair=circle&bgLayer=ch.swisstopo.pixelkarte-farbe&time_current=latest&lang=de&topic=ech&layers_opacity=0.35&layers=ch.swisstopo.hangneigung-ueber_30,2820,NE,1,"2 (4, 3)",3
2011/12,29-Dec-11,GR,Celerina / Schlarigna,Piz Glüna / Piz Corviglia / Chüdera,http://map.geo.admin.ch/?Y=780130&X=155335&zoom=8&crosshair=circle&bgLayer=ch.swisstopo.pixelkarte-farbe&time_current=latest&lang=de&topic=ech&layers_opacity=0.35&layers=ch.swisstopo.hangneigung-ueber_30,2995,E,1,"1 (2, 1)",3
2011/12,23-Dec-11,GR,Bever,Piz Picuogl / Val Bever / Chamanna Jenatsch,http://map.geo.admin.ch/?Y=774959&X=155358&zoom=8&crosshair=circle&bgLayer=ch.swisstopo.pixelkarte-farbe&time_current=latest&lang=de&topic=ech&layers_opacity=0.35&layers=ch.swisstopo.hangneigung-ueber_30,2690,NE,1,"1 (1, 1)",3
2011/12,20-Dec-11,VS,Fully,Planuit / Buitonne,http://map.geo.admin.ch/?Y=574750&X=112500&zoom=8&crosshair=circle&bgLayer=ch.swisstopo.pixelkarte-farbe&time_current=latest&lang=de&topic=ech&layers_opacity=0.35&layers=ch.swisstopo.hangneigung-ueber_30,2000,SE,3,"1 (1, 1)",
2011/12,11-Dec-11,VS,Saas Almagell,Monte Moro,http://map.geo.admin.ch/?Y=640695&X=94350&zoom=8&crosshair=circle&bgLayer=ch.swisstopo.pixelkarte-farbe&time_current=latest&lang=de&topic=ech&layers_opacity=0.35&layers=ch.swisstopo.hangneigung-ueber_30,2970,NE,1,"1 (2, 1)",3
2011/12,7-Dec-11,VS,Saas Fee,Felskinn / Skigebiet Saas Fee,http://map.geo.admin.ch/?Y=636700&X=101570&zoom=8&crosshair=circle&bgLayer=ch.swisstopo.pixelkarte-farbe&time_current=latest&lang=de&topic=ech&layers_opacity=0.35&layers=ch.swisstopo.hangneigung-ueber_30,3100,N,3,"1 (2, 2)",
2010/11,1-Apr-11,VS,Anniviers,Crête de Barneuza,http://map.geo.admin.ch/?Y=616268&X=113657&zoom=8&crosshair=circle&bgLayer=ch.swisstopo.pixelkarte-farbe&time_current=latest&lang=de&topic=ech&layers_opacity=0.35&layers=ch.swisstopo.hangneigung-ueber_30,2820,NW,1,"3 (7, 4)",2
